,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
470,Abatskoye,RU,56.29,70.46,51.84,92,68,6.2,broken clouds
471,Altay,CN,47.87,88.12,62.06,37,86,5.7,overcast clouds
472,Shasta Lake,US,40.68,-122.37,86.0,39,90,4.18,haze
473,Voh,NC,-20.97,164.7,67.68,83,41,3.83,scattered clouds
474,Payakumbuh,ID,-0.22,100.63,70.54,87,95,2.13,overcast clouds
475,Haines Junction,CA,60.75,-137.51,55.06,68,92,2.84,overcast clouds
476,Ozinki,RU,51.18,49.68,62.65,58,43,7.4,scattered clouds
477,Tiarei,PF,-17.53,-149.33,71.6,78,20,2.24,few clouds
478,Conceicao Da Barra,BR,-18.59,-39.73,67.24,80,100,9.82,light rain
479,Andenes,NO,69.31,16.12,57.2,93,90,9.17,light intensity drizzle
480,Goure,NE,13.98,10.27,90.46,39,95,7.16,overcast clouds
481,Bulgan,MN,48.81,103.53,48.94,84,2,3.67,clear sky
482,Lasa,IT,46.62,10.7,66.0,63,40,4.7,scattered clouds
483,Egvekinot,RU,66.32,-179.17,46.44,96,97,3.33,light rain
484,Turbat,PK,26.0,63.04,85.87,68,62,10.04,broken clouds
485,Poronaysk,RU,49.22,143.12,56.3,92,13,2.84,few clouds
486,Inverell,AU,-29.78,151.12,36.0,90,30,6.51,scattered clouds
487,Leninskoye,RU,47.94,132.62,61.45,94,97,4.21,overcast clouds
488,Sarangani,PH,5.4,125.46,83.23,76,87,6.87,light rain
489,Huanren,CN,41.26,125.37,63.43,90,100,4.05,overcast clouds
490,Bukachacha,RU,52.98,116.92,52.72,91,100,5.35,overcast clouds
491,Burgeo,CA,47.62,-57.62,65.35,67,7,16.06,clear sky
492,Vila Franca Do Campo,PT,37.72,-25.43,77.0,78,20,13.87,few clouds
493,Maraa,BR,-1.83,-65.37,95.47,33,0,1.83,clear sky
494,Tagbac,PH,7.09,125.16,78.8,88,40,3.36,scattered clouds
495,Jonava,LT,55.08,24.28,71.6,64,75,1.12,thunderstorm
496,Bjorkelangen,NO,59.88,11.57,66.0,85,20,6.44,few clouds
497,Tarko-Sale,RU,64.92,77.78,53.01,92,15,8.75,few clouds
498,Ordynskoye,RU,54.37,81.9,54.1,90,20,6.2,few clouds
499,Kaoma,ZM,-14.78,24.8,66.34,29,8,6.58,clear sky
500,Gunjur,GM,13.2,-16.73,84.2,79,75,6.93,broken clouds
501,Matay,EG,28.42,30.78,89.56,21,0,9.69,clear sky
502,Bilibino,RU,68.05,166.44,38.53,91,100,2.95,overcast clouds
503,Shangqiu,CN,34.45,115.65,76.19,95,36,7.67,light rain
504,Bang Sai,TH,14.21,100.5,82.4,78,20,6.93,few clouds
505,Serra Branca,BR,-6.53,-38.27,91.62,20,19,7.14,few clouds
506,Vao,NC,-22.67,167.48,69.94,80,100,10.63,overcast clouds
507,Coquimbo,CL,-29.95,-71.34,55.4,66,90,18.34,overcast clouds
508,Lamas,PE,-6.42,-76.53,78.8,61,75,3.36,broken clouds
509,Noumea,NC,-22.28,166.46,73.0,94,90,1.12,overcast clouds
510,Amga,RU,60.9,131.96,40.48,71,55,1.61,broken clouds
511,Corrales,US,35.24,-106.61,89.01,34,38,1.01,scattered clouds
512,Kisiwani,TZ,-4.13,37.95,69.66,71,92,7.31,overcast clouds
513,Kawalu,ID,-7.38,108.21,71.6,90,84,1.07,broken clouds
514,Wyndham,US,37.7,-77.61,91.0,58,1,5.82,clear sky
515,Marang,MY,5.21,103.21,80.6,88,20,2.24,few clouds
516,Jumla,NP,29.27,82.18,62.78,70,79,0.6,broken clouds
517,Ilulissat,GL,69.22,-51.1,46.4,52,2,3.36,clear sky
518,Myskhako,RU,44.67,37.74,73.0,56,0,8.95,clear sky
519,Kedrovyy,RU,56.17,91.82,55.4,93,40,4.47,light intensity shower rain
520,Wukari,NG,7.85,9.78,73.49,94,100,2.39,moderate rain
521,Poselki,RU,53.13,46.5,55.04,81,14,3.24,few clouds
522,Camacha,PT,33.08,-16.33,77.0,69,20,12.75,few clouds
523,Cayenne,GF,4.93,-52.33,75.2,83,4,10.29,light rain
524,Yumen,CN,40.28,97.2,69.15,24,0,6.91,clear sky
525,Half Moon Bay,US,37.46,-122.43,73.99,68,75,9.17,smoke
526,Parana,AR,-31.73,-60.52,72.0,28,0,4.0,clear sky
527,Vozhega,RU,60.47,40.22,58.98,93,100,5.35,overcast clouds
528,Rudnyy,KZ,52.96,63.12,53.6,81,4,8.95,clear sky
529,Dzhebariki-Khaya,RU,62.22,135.8,40.87,66,100,1.39,overcast clouds
530,Vanimo,PG,-2.67,141.3,77.52,81,96,4.21,moderate rain
531,Surt,LY,31.21,16.59,80.73,73,0,10.09,clear sky
532,Foz Do Iguacu,BR,-25.55,-54.59,75.2,33,0,14.99,clear sky
533,Oneonta,US,42.45,-75.06,84.0,60,9,3.0,light rain
534,Ardabil,IR,38.25,48.29,50.0,100,75,16.11,light intensity drizzle
535,Lesosibirsk,RU,58.24,92.48,52.95,85,85,3.67,overcast clouds
536,Brae,GB,60.4,-1.35,51.8,71,75,13.87,broken clouds
537,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,50,75,11.41,broken clouds
538,Limuru,KE,-1.1,36.65,68.0,60,75,6.93,broken clouds
539,Alexandria,EG,31.22,29.96,86.0,58,0,9.17,clear sky
540,Kautokeino,NO,69.01,23.04,57.47,81,100,6.04,light rain
541,Salalah,OM,17.02,54.09,77.0,100,90,3.36,light intensity drizzle
542,San Quintin,MX,30.48,-115.95,78.62,62,0,7.87,clear sky
543,Opuwo,NA,-18.06,13.84,66.99,28,5,4.54,clear sky
544,Bemidji,US,47.47,-94.88,81.0,65,1,3.0,clear sky
545,Isangel,VU,-19.55,169.27,74.59,87,5,4.07,clear sky
546,Kholm,RU,59.27,32.85,61.36,95,97,7.27,overcast clouds
547,Geraldton,AU,-28.77,114.6,50.0,87,75,6.2,broken clouds
548,Krapivinskiy,RU,55.0,86.81,55.4,87,82,8.95,broken clouds
549,Victor Harbor,AU,-35.57,138.62,39.99,92,72,3.27,light rain
550,Rantepao,ID,-2.97,119.9,64.53,84,18,1.81,few clouds
551,Sungaipenuh,ID,-2.08,101.38,65.77,92,92,3.87,overcast clouds
552,Port Moresby,PG,-9.44,147.18,73.4,83,20,23.04,few clouds
553,Tazovskiy,RU,67.47,78.7,53.94,89,100,10.09,light rain
554,Ko Samui,TH,9.54,99.94,83.82,71,15,6.22,few clouds
555,Taoudenni,ML,22.68,-3.98,112.89,6,50,12.55,scattered clouds
556,Waipawa,NZ,-41.41,175.52,52.0,93,98,16.11,light rain
557,Mocuba,MZ,-16.84,36.99,66.2,77,39,4.25,scattered clouds
558,Peruibe,BR,-24.32,-47.0,67.03,67,57,6.53,light rain
559,Dunedin,NZ,-45.87,170.5,48.99,96,100,13.73,light rain
560,Skerries,IE,53.58,-6.11,63.0,67,75,13.87,broken clouds
561,Nalut,LY,30.33,10.85,92.75,16,0,16.78,clear sky
562,Saint-Pierre,RE,-21.34,55.48,68.0,72,0,4.7,clear sky
563,Lao Cai,VN,22.48,103.95,76.8,83,34,1.07,scattered clouds
564,Hailar,CN,49.2,119.7,58.01,92,98,5.57,overcast clouds
565,Tabuk,PH,17.42,121.44,74.59,82,99,3.13,overcast clouds
566,Anloga,GH,5.79,0.9,82.4,69,20,13.87,few clouds
567,General Teran,MX,25.27,-99.68,91.9,39,2,6.29,clear sky
568,Caxito,AO,-8.58,13.66,73.4,78,75,6.93,broken clouds
569,Champerico,GT,14.3,-91.92,82.4,78,75,4.7,broken clouds
570,Talcahuano,CL,-36.72,-73.12,55.4,76,90,25.28,overcast clouds
571,Parnaiba,BR,-2.9,-41.78,84.97,60,19,14.05,few clouds
572,Oropoli,HN,13.82,-86.82,82.4,58,75,2.93,broken clouds
573,Nova Soure,BR,-11.23,-38.48,79.95,63,83,15.23,light rain
574,Muisne,EC,0.6,-80.03,82.4,74,75,3.36,broken clouds
575,Eyl,SO,7.98,49.82,77.47,69,47,26.62,scattered clouds
576,Samarai,PG,-10.62,150.67,75.34,76,100,14.79,overcast clouds
577,Mosquera,CO,4.71,-74.23,66.2,52,75,5.82,broken clouds
578,Aflao,TG,6.12,1.19,82.4,69,20,13.87,few clouds
579,Paamiut,GL,61.99,-49.67,42.66,88,5,3.78,clear sky
580,Nador,MA,35.17,-2.93,84.2,74,40,5.82,scattered clouds
581,Decatur,US,39.84,-88.95,87.01,62,40,9.28,scattered clouds
582,Ndele,CF,8.41,20.65,72.37,94,96,4.47,moderate rain
583,Hervey Bay,AU,-25.3,152.85,51.8,40,0,8.05,clear sky
584,Chitral,PK,35.85,71.79,77.61,54,2,3.18,clear sky
585,Knezica,BA,45.1,16.68,71.6,83,40,5.82,scattered clouds
586,Pocatello,US,42.87,-112.45,79.0,35,1,4.7,haze
587,Flinders,AU,-34.58,150.86,51.01,60,0,11.01,clear sky
588,Salekhard,RU,66.53,66.6,53.01,81,63,10.76,broken clouds
589,Cochrane,CA,51.18,-114.47,62.01,66,90,5.82,overcast clouds
590,Aykhal,RU,66.0,111.5,48.2,66,0,6.71,clear sky
591,Hailey,US,43.52,-114.32,66.2,37,5,9.17,smoke
592,Nha Trang,VN,12.25,109.18,82.4,88,20,3.36,few clouds
593,Los Algarrobos,PA,8.5,-82.43,86.0,70,40,5.82,scattered clouds
594,Ribas Do Rio Pardo,BR,-20.44,-53.76,82.8,32,30,9.69,scattered clouds
595,Zheshart,RU,62.07,49.57,58.68,92,70,3.65,broken clouds
596,Constantine,DZ,36.37,6.61,86.0,42,20,10.29,few clouds
597,Mangan,IN,27.52,88.53,75.16,57,56,0.4,broken clouds
598,Progreso,MX,21.28,-89.67,95.0,59,75,9.04,broken clouds
599,Bathurst,AU,-33.42,149.58,37.99,99,94,3.0,overcast clouds
600,Price,US,39.6,-110.81,82.4,23,1,8.05,clear sky
601,Purranque,CL,-40.92,-73.17,48.2,93,90,10.29,overcast clouds
602,Asau,RO,46.43,26.4,70.0,80,8,2.13,light rain
603,Belaya Glina,RU,46.07,40.86,68.13,39,0,10.2,clear sky
604,Ulaanbaatar,MN,47.91,106.88,51.8,71,0,8.95,clear sky
605,Port Hardy,CA,50.7,-127.42,53.6,93,90,2.24,overcast clouds
606,Sambir,UA,49.52,23.2,66.0,93,40,6.71,scattered clouds
607,Stari Banovci,RS,44.99,20.29,80.6,57,52,13.87,broken clouds
608,Kumluca,TR,36.37,30.29,84.38,44,0,4.54,clear sky
609,Kisangani,CD,0.52,25.2,70.92,92,81,2.19,broken clouds
610,Itaquitinga,BR,-7.67,-35.1,82.4,61,20,11.41,few clouds
611,Fort Collins,US,40.59,-105.08,93.0,21,1,9.46,haze
612,Tual,ID,-5.67,132.75,78.28,81,73,18.39,broken clouds
613,Astoria,US,46.19,-123.83,64.99,77,1,4.7,clear sky
614,Mackenzie,CA,55.3,-123.17,55.4,66,1,9.17,clear sky
615,Sur,OM,22.57,59.53,80.31,76,96,13.49,overcast clouds
616,Vestmannaeyjar,IS,63.44,-20.27,55.4,66,88,9.17,overcast clouds
617,Belmonte,BR,-15.86,-38.88,69.8,88,75,9.17,light rain
618,Boddam,GB,57.47,-1.78,54.0,76,100,8.05,overcast clouds
619,Villa Guerrero,MX,18.87,-99.65,75.2,73,40,5.82,scattered clouds
620,Santa Fe,AR,-31.63,-60.7,72.0,29,0,8.99,clear sky
621,Uyuni,BO,-20.46,-66.83,53.08,37,0,22.48,clear sky
622,Buraydah,SA,26.33,43.98,100.4,22,0,2.24,clear sky
623,Oranjemund,NA,-28.55,16.43,55.2,87,0,8.19,clear sky
624,San Rafael,AR,-34.62,-68.33,68.36,21,0,6.82,clear sky
625,Khaga,IN,25.78,81.12,81.03,83,35,5.88,light rain
626,Nyurba,RU,63.28,118.33,40.19,81,0,3.67,clear sky
627,Bahawalpur,PK,29.4,71.68,96.46,38,29,10.69,scattered clouds
628,Kangaba,ML,11.93,-8.42,82.58,73,88,2.08,overcast clouds
629,Marquette,US,46.53,-87.63,75.99,79,17,3.0,few clouds
630,Duldurga,RU,50.68,113.59,53.55,87,88,3.38,overcast clouds
631,San Antero,CO,9.37,-75.76,84.04,73,55,3.96,broken clouds
632,Teacapan,MX,22.55,-105.75,89.47,64,13,8.48,few clouds
633,Luyang,CN,27.62,110.1,76.24,82,0,3.98,clear sky
634,Te Anau,NZ,-45.42,167.72,39.18,89,94,0.47,overcast clouds
635,Kolaras,IN,25.23,77.6,75.47,91,98,13.71,overcast clouds
636,Nizhniy Odes,RU,63.64,54.86,53.58,85,35,2.8,scattered clouds
637,Rivne,UA,50.62,26.23,66.99,98,100,6.17,moderate rain
638,Gornopravdinsk,RU,60.05,69.9,50.97,96,79,6.73,broken clouds
639,Iquitos,PE,-3.75,-73.25,71.6,73,90,5.82,overcast clouds
640,Chicama,PE,-7.84,-79.15,74.84,46,32,10.69,scattered clouds
641,Yakima,US,46.47,-120.67,75.99,43,1,4.7,clear sky
642,Pokhara,NP,28.23,83.98,71.55,79,79,2.37,broken clouds
643,Ibra,OM,22.69,58.53,83.66,61,100,7.38,overcast clouds
644,Seljord,NO,59.49,8.63,58.53,57,3,6.42,clear sky
645,Faya,SA,18.39,42.45,73.4,88,84,6.93,broken clouds
646,Rovenki,UA,48.08,39.38,63.73,47,0,6.02,clear sky
647,Bonthe,SL,7.53,-12.51,79.3,82,98,10.83,light rain
648,Las Palmas,ES,28.42,-14.01,89.6,46,0,18.34,clear sky
649,Lagos,NG,6.58,3.75,84.2,66,20,10.29,few clouds
650,Kambove,CD,-10.88,26.6,64.42,46,46,2.75,scattered clouds
651,Ternate,ID,0.8,127.4,79.77,83,28,3.47,light rain
652,Panzhihua,CN,26.59,101.71,72.57,77,61,1.83,moderate rain
653,Nemuro,JP,43.32,145.57,62.58,98,40,3.0,scattered clouds
654,Pozo Colorado,PY,-23.49,-58.8,66.94,58,98,6.33,overcast clouds
655,Quatre Cocos,MU,-20.21,57.76,72.0,73,20,17.22,few clouds
656,Modasa,IN,23.47,73.3,76.57,94,100,9.75,overcast clouds
657,High Level,CA,58.52,-117.14,57.2,93,90,5.82,overcast clouds
658,Upington,ZA,-28.45,21.26,69.8,29,0,4.7,clear sky
659,Choma,ZM,-16.81,26.95,58.1,47,46,6.08,scattered clouds
660,Riyadh,SA,24.69,46.72,105.8,12,63,5.82,broken clouds
661,Manggar,ID,-2.88,108.27,80.58,81,83,10.51,broken clouds
662,Henties Bay,NA,-22.12,14.28,63.0,77,0,8.37,clear sky
663,Alekseyevsk,RU,57.84,108.35,57.65,69,92,4.07,overcast clouds
664,Cassilandia,BR,-19.11,-51.73,84.15,34,19,7.34,few clouds
665,Dwarka,IN,22.24,68.97,82.78,82,100,20.33,moderate rain
666,Crowley,US,30.21,-92.37,91.99,68,0,10.38,light rain
667,Berlevag,NO,70.86,29.09,66.2,63,90,14.99,moderate rain
668,Russell,US,32.35,-85.2,86.0,58,75,5.82,broken clouds
669,Kaeo,NZ,-35.1,173.78,54.0,3,17,8.01,few clouds
670,Kutum,SD,14.2,24.67,80.69,59,60,1.28,broken clouds
671,Abha,SA,18.22,42.51,73.4,88,92,6.93,overcast clouds
672,Los Llanos De Aridane,ES,28.66,-17.92,80.01,73,20,18.34,few clouds
673,Mahibadhoo,MV,3.78,72.97,82.74,69,80,0.89,moderate rain
674,Novoagansk,RU,61.94,76.66,49.06,92,59,2.66,broken clouds
675,Eydhafushi,MV,5.1,73.07,84.45,65,99,3.24,overcast clouds
676,Grants,US,35.15,-107.85,84.2,20,1,8.05,clear sky
677,Machali,CL,-34.18,-70.67,57.2,58,40,2.24,haze
678,Alice,US,27.75,-98.07,91.4,55,75,10.29,broken clouds
679,Dondo,MZ,-19.61,34.74,64.33,78,6,5.46,clear sky
680,Irbeyskoye,RU,55.64,95.45,54.19,79,49,4.18,scattered clouds
681,Shu,KZ,43.6,73.76,82.0,65,55,4.0,broken clouds
682,Ayan,RU,56.45,138.17,54.28,64,21,6.38,few clouds
683,Baguanos,CU,20.75,-76.03,86.0,74,75,16.11,shower rain
684,Tigil,RU,57.8,158.67,39.87,94,76,6.49,broken clouds
685,Penzance,GB,50.12,-5.54,64.99,77,83,13.87,broken clouds
686,Ixtapa,MX,20.7,-105.2,88.0,70,5,4.7,clear sky
687,Teknaf,BD,20.86,92.31,79.02,90,100,8.75,moderate rain
688,Sunbury,AU,-37.58,144.73,41.0,93,20,10.29,few clouds
689,Pandan,PH,14.05,124.17,80.49,82,100,4.9,light rain
690,Kichera,RU,55.94,110.1,55.99,85,99,1.97,moderate rain
691,Lorengau,PG,-2.02,147.27,76.86,87,100,6.62,moderate rain
692,Portland,US,45.52,-122.68,69.01,63,1,4.7,clear sky
693,Golden,US,39.76,-105.22,84.0,20,5,4.7,smoke
694,Beachwood,US,41.46,-81.51,86.0,51,40,9.17,scattered clouds
695,Ushtobe,KZ,45.25,77.98,72.93,23,72,8.81,broken clouds
696,Iralaya,HN,15.0,-83.23,87.8,74,40,6.93,scattered clouds
697,Quzhou,CN,28.96,118.87,78.44,73,2,1.41,clear sky
698,Biak,ID,-0.91,122.88,74.32,65,1,5.88,clear sky
699,Kurilsk,RU,45.23,147.88,56.64,87,87,0.54,overcast clouds
700,Saint-Georges,GD,12.06,-61.75,86.0,79,40,8.05,scattered clouds
701,Partizanske,SK,48.63,18.38,70.0,100,36,4.54,scattered clouds
702,Dangriga,BZ,16.97,-88.23,91.99,70,20,5.59,few clouds
703,Quelimane,MZ,-17.88,36.89,71.6,73,47,2.51,scattered clouds
704,Tondano,ID,1.3,124.91,75.2,83,20,1.12,few clouds
705,San Lawrenz,MT,36.06,14.2,84.2,79,20,12.75,few clouds
706,Placido De Castro,BR,-10.34,-67.19,95.67,25,0,1.03,clear sky
707,Machachi,EC,-0.5,-78.57,71.6,40,20,9.17,few clouds
708,Jiaocheng,CN,24.68,116.14,77.56,87,83,1.12,moderate rain
709,Xiongzhou,CN,25.12,114.3,77.95,82,5,2.84,clear sky
